ID,Name,Category,Description,Nature_Type,Nature_Label,Mosleh,Calories,CookTime,Difficulty,Nationality,Ingredients_List,Recipe_Steps
"dish-1-1766961078329","Lahmacun (لاهماجون - پیتزا ترکی)","international","لاهماجون یکی از محبوب‌ترین غذاهای خیابانی ترکیه و خاورمیانه است که از یک لایه خمیر بسیار نازک و ترد همراه با تاپینگ گوشت چرخ‌کرده مزه‌دار شده با سبزیجات و ادویه‌های معطر تهیه می‌شود.","hot","گرم و خشک","جعفری تازه یا سماق","420","60","متوسط","ترکیه","گوشت چرخ کرده:400:گرم | ۱ عدد پیاز کوچک (رنده شده):2:عدد | ۲ عدد گوجه‌فرنگی کوچک (رنده شده):3:عدد | ۱ عدد فلفل سبز (ریز خرد شده):2:عدد | ۲ قاشق غذاخوری جعفری تازه (خرد شده):40:به میزان لازم | رب گوجه فرنگی:45:قاشق | ۱/۲ قاشق چای‌خوری پاپریکا:5:گرم | ۱/۴ قاشق چای‌خوری فلفل قرمز پرک شده (پول بیبر):3:گرم | نمک و فلفل سیاه و زرد چوبه:1:به میزان لازم | آرد گندم ۲۰۰ گرم (برای خمیر):400:گرم | ۱/۲ قاشق چای‌خوری نمک:0:به میزان لازم | ۱/۲ قاشق چای‌خوری شکر:4:به میزان لازم | ۱ قاشق چای‌خوری مایه خمیر فوری:8:گرم | ۱۲۰ میلی‌لیتر آب گرم:250:میلی‌لیتر","برای تهیه خمیر: در یک کاسه بزرگ، آرد، نمک، شکر و مایه خمیر را با هم مخلوط کنید. آب گرم را به آرامی اضافه کرده و ورز دهید تا خمیری نرم و یکدست که به دست نمی‌چسبد حاصل شود. روی خمیر را بپوشانید و به مدت ۴۵ دقیقه در جای گرم استراحت دهید تا حجم آن دو برابر شود. | برای مواد رویه: گوشت چرخ‌کرده را با پیاز رنده شده (که آب آن گرفته شده)، گوجه‌فرنگی رنده شده، فلفل سبز خرد شده، جعفری تازه، رب گوجه‌فرنگی، پاپریکا، پول‌بیبر، نمک و فلفل سیاه در یک ظرف مخلوط کنید و با دست ورز دهید تا کاملاً یکنواخت شوند. | فر را از قبل با بالاترین دمای ممکن (حدود ۲۴۰ تا ۲۵۰ درجه سانتی‌گراد) گرم کنید. | خمیر را به ۴ یا ۶ قسمت مساوی تقسیم کنید. هر قسمت را روی سطح آردپاشی شده به شکل دایره‌ای بسیار نازک (مانند نان لواش) باز کنید. | مقداری از مخلوط گوشت را روی خمیر قرار داده و با پشت قاشق یا نوک انگشتان به طور یکنواخت روی سطح خمیر پخش کنید، به طوری که لبه‌ها کمی خالی بمانند. | لاهماجون‌ها را روی سینی فر که از قبل گرم شده قرار دهید و به مدت ۷ تا ۱۰ دقیقه بپزید تا نان کاملاً ترد و لبه‌های آن طلایی شود. بلافاصله با جعفری تازه و آبلیمو سرو کنید."
"dish-1-1766961391029","Ossobuco (اوزوبوکو - ساق گوساله ایتالیایی)","international","اوزوبوکو یکی از مشهورترین غذاهای منطقه لمباردی ایتالیا است. این خوراک با پخت آهسته ساق گوساله در سسی غنی از سبزیجات و آب گوشت تهیه شده و با چاشنی معطر گره‌مولاتا (ترکیب جعفری، سیر و پوست لیمو) تزئین می‌شود تا طعمی بی‌نظیر و لطیف پیدا کند.","hot","گرم و تر","رزماری یا آویشن","520","150","متوسط","ایتالیا","ساق گوساله (برش خورده عرضی با استخوان):1200:گرم | پیاز بزرگ (خرد شده):1:عدد | هویج (خرد شده):150:گرم | ساقه کرفس (خرد شده):100:گرم | سیر (له شده):2:حبه | شراب سفید خشک:100:میلی‌لیتر | گوجه‌فرنگی خرد شده (کنسروی):400:گرم | آب گوشت:500:میلی‌لیتر | روغن زیتون:45:قاشق | آرد نخودچی:25:قاشق | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم | جعفری تازه (برای گره‌مولاتا):30:به میزان لازم | سیر (برای گره‌مولاتا):1:حبه | پوست لیمو (برای گره‌مولاتا):10:گرم","تکه‌های ساق گوساله را با نمک و فلفل سیاه کاملاً مزه‌دار کنید و سپس هر دو طرف آن‌ها را در آرد بغلتانید. آرد اضافی را کاملاً بتکانید تا لایه بسیار نازکی باقی بماند. | در یک قابلمه بزرگ و سنگین (مانند ظرف چدنی)، روغن زیتون را روی حرارت متوسط گرم کنید. ساق‌ها را از هر دو طرف سرخ کنید تا به خوبی قهوه‌ای شوند، سپس آن‌ها را از قابلمه خارج کرده و کنار بگذارید. | پیاز، هویج و کرفس خرد شده را به همان قابلمه اضافه کنید و به مدت ۷ تا ۱۰ دقیقه تفت دهید تا سبزیجات نرم و سبک شوند. سیر را اضافه کرده و ۱ دقیقه دیگر تفت دهید تا عطر آن آزاد شود. | شراب سفید را اضافه کنید و اجازه دهید بجوشد؛ با یک قاشق چوبی ذرات چسبیده به کف قابلمه را جدا کنید تا طعم آن‌ها به سس منتقل شود. اجازه دهید حجم مایع نصف شود. | گوجه‌فرنگی خرد شده و آب گوشت را اضافه کنید. کمی نمک و فلفل بزنید و ساق‌های گوساله را به قابلمه برگردانید (مایع باید نیمی از ارتفاع گوشت را بپوشاند). | حرارت را کم کنید، درب قابلمه را بگذارید و اجازه دهید به مدت ۲ تا ۲.۵ ساعت روی حرارت بسیار ملایم یا در فر با دمای ۱۶۰ درجه سانتی‌گراد بپزد تا گوشت کاملاً نرم شده و به راحتی از استخوان جدا شود. | در ۱۰ دقیقه پایانی پخت، جعفری تازه ساطوری، سیر رنده شده و پوست لیمو را با هم مخلوط کنید تا گره‌مولاتا آماده شود. | اوزوبوکو را در ظرف سرو قرار دهید، سس غلیظ شده را روی آن بریزید و در نهایت ترکیب گره‌مولاتا را روی هر تکه گوشت بپاشید. این غذا معمولاً با ریزوتو آلا میلانزه یا پولنتا سرو می‌شود."
"dish-1-1766963128330","Qurutob (قروت‌آب تاجیکستان)","international","قروت‌آب یکی از محبوب‌ترین و اصیل‌ترین غذاهای ملی تاجیکستان است که با ترکیبی از کشک غلیظ (قروت)، نان فطیر، پیاز داغ و سبزیجات تازه تهیه می‌شود. این غذا به طور سنتی در ظرف‌های چوبی بزرگ سرو می‌شود و نمادی از فرهنگ غذایی آسیای مرکزی است.","cold","سرد و تر","پیاز داغ|روغن کتان","480","30","متوسط","تاجیکستان","قروت (کشک خشک تاجیکی):200:میلیلیتر | نان فطیر یا لواش تازه:2:عدد | پیاز بزرگ:2:عدد | روغن کتان:120:میلی‌لیتر | رب گوجه فرنگی:2:قاشق | خیار:2:عدد | فلفل دلمه:1:عدد | سبزیجات تازه (گشنیز، شوید، ریحان):70:گرم | نمک و فلفل سیاه و زرد چوبه:1:به میزان لازم | آب به مقدار لازم:500:میلی‌لیتر","قروت‌ها را از شب قبل در مقداری آب خیس کنید تا کاملاً نرم شوند. سپس آن‌ها را در همان آب له کرده و با ۵۰۰ میلی‌لیتر آب اضافی مخلوط کنید تا یک سس یکدست و غلیظ با بافتی شبیه به دوغ غلیظ به دست آید. | پیازها را به صورت خلالی نازک خرد کنید. روغن کتان را در یک تابه روی حرارت ملایم گرم کرده و پیازها را در آن سرخ کنید تا به رنگ طلایی و کاملاً برشته درآیند. | نان فطیر یا لواش را با دست به تکه‌های کوچک (حدود ۳ سانتی‌متر) خرد کرده و در یک کاسه بزرگ یا ظرف مخصوص سرو بریزید. | سس قروت آماده شده را روی نان‌های خرد شده بریزید. اجازه دهید نان‌ها چند لحظه بمانند تا سس را به خود جذب کنند. سپس پیازهای سرخ شده را به همراه روغن داغ کتان روی تمام سطح نان‌ها پخش کنید. | گوجه‌فرنگی، خیار و فلفل دلمه را به صورت نگینی ریز خرد کنید. سبزیجات تازه را نیز ساطوری کرده و به همراه نمک و فلفل روی غذا بریزید. قروت‌آب را بلافاصله تا نان‌ها بیش از حد نرم نشده‌اند، سرو کنید."
"dish-1-1766972486974","سوشی (سوشی - ژاپن)","international","سوشی یکی از محبوب‌ترین و اصیل‌ترین غذاهای فرهنگ ژاپن است که از ترکیب برنج مخصوص طعم‌دار شده با سرکه، ماهی تازه خام و سبزیجات مختلف تهیه می‌شود. این نسخه شامل رول‌های کلاسیک ماکی است.","cold","undefined","زنجبیل ترشی یا واسابی","420","60","متوسط","ژاپن","برنج سوشی (برنج ژاپنی دانه کوتاه):360:پیمانه | آب:600:میلیلیتر | سرکه برنج:120:میلیلیتر | شکر:30:به میزان لازم | نمک و فلفل و زردچوبه:1:به میزان لازم | فیله ماهی تازه و با کیفیت سوشی گرید (مانند سالمون، تون یا هامور):250:گرم | جلبک نوری (ورق خشک):5:عدد | ۱ عدد خیار (نواری باریک خرد شده):1:عدد | ۱ عدد آووکادو (نواری برش داده شده):1:عدد | واسابي، زنجبیل ترشی (گاری) و سس سویا برای سرو:0:به میزان لازم","برنج سوشی را چندین بار با آب سرد بشویید تا آب خروجی کاملاً شفاف شود. سپس برنج را همراه با مقدار مشخص شده آب در قابلمه ریخته، به جوش آورید و سپس با درب بسته به مدت ۲۰ دقیقه با حرارت بسیار کم بپزید. پس از پخت، ۱۵ دقیقه بدون باز کردن درب، اجازه دهید دم بکشد. | در همین حین، سرکه برنج، شکر و نمک را در یک تابه کوچک روی حرارت ملایم گرم کنید و هم بزنید تا شکر و نمک کاملاً حل شوند، اما اجازه ندهید مخلوط به جوش بیاید. | برنج پخته شده را به یک ظرف بزرگ غیرفلزی منتقل کنید. مخلوط سرکه را به تدریج روی برنج بریزید و با استفاده از قاشق چوبی با حرکات برشی به آرامی هم بزنید تا سرکه جذب شود و برنج به دمای محیط برسد. | حصیر مخصوص سوشی (ماکیسو) را پهن کرده و یک ورق جلبک نوری را به صورتی که سمت براق آن رو به پایین باشد، روی آن قرار دهید. | دست‌های خود را با آب مرطوب کنید. یک لایه نازک و یکنواخت از برنج را روی نوری پخش کنید، به طوری که حدود ۲ سانتی‌متر از لبه بالایی جلبک خالی بماند. | نوارهای ماهی، خیار و آووکادو را در یک ردیف افقی در نزدیکی لبه پایینی برنج بچینید. | با استفاده از حصیر، از سمت پایین شروع به رول کردن کنید. در حین کار فشار ملایم و یکنواختی وارد کنید تا رول کاملاً فشرده و محکم شود. | پس از اتمام رول کردن، با یک چاقوی بسیار تیز که تیغه آن کمی مرطوب شده است، رول را به قطعات مساوی برش بزنید. | سوشی‌ها را در ظرف مورد نظر چیده و بلافاصله همراه با سس سویا، واسابی و زنجبیل ترشی سرو کنید."
"dish-1-1766973887873","ماکارونی دمی ایرانی","khorak","یک غذای بسیار محبوب و نوستالژیک ایرانی که با ترکیب ماکارونی رشته‌ای، مایه گوشت و قارچ تهیه شده و با ته‌دیگ ترد سیب‌زمینی دم می‌کشد.","balanced","معتدل (به دلیل ترکیب گندم گرم و گوشت سرد)","آویشن، پودر سیر و fلفل سیاه","620","60","متوسط","ایران","ماکارونی رشته‌ای (اسپاگتی):500:گرم | گوشت چرخ کرده:350:گرم | پیاز بزرگ:1:عدد | رب گوجه فرنگی:60:قاشق | سیب‌زمینی (برای ته‌دیگ):2:عدد | fلفل دلمه‌ای:1:عدد | قارچ دگمه ای:200:گرم | زردچوبه، نمک، fلفل و آویشن:1:به میزان لازم | روغن زیتون:45:قاشق","پیاز را نگینی خرد کرده و در روغن زیتون تفت دهید تا سبک و طلایی شود، سپس گوشت چرخ‌کرده را اضافه کنید و تا زمان تغییر رنگ تفت دهید. | fلفل دلمه‌ای و قارچ خرد شده را به تابه اضافه کنید و با حرارت بالا تفت دهید تا آب قارچ کاملاً کشیده شود. | رب گوجه‌فرنگی را به همراه زردچوبه، نمک و fلفل (به جز آویشن) اضافه کرده و به خوبی تفت دهید تا رنگ رب باز شود و خامی آن گرفته شود. | در یک قابلمه بزرگ آب را به جوش آورده، مقداری نمک اضافه کنید و ماکارونی را داخل آن بریزید؛ پس از ۷ تا ۱۰ دقیقه وقتی ماکارونی کمی نرم شد (اما له نشد)، آن را آبکش کنید. | کف قابلمه را کمی روغن ریخته و سیب‌زمینی‌های حلقه‌شده را برای ایجاد یک ته‌دیگ خوشمزه در کف آن بچینید. | ماکارونی آبکش‌شده و مایه گوشتی آماده را به صورت لایه‌لایه‌ در قابلمه بریزید و روی هر لایه مایه گوشت، مقداری آویشن بپاشید. | درب قابلمه را با دم‌کنی بپوشانید و اجازه دهید غذا به مدت ۴۵ دقیقه روی حرارت بسیار ملایم دم بکشد تا آماده سرو شود."
"dish-1-1769808192408","تانتونی گوشت بره با نان خانگی (tantuni)","international","تانتونی یکی از لذیذترین غذاهای خیابانی ترکیه است که از ترکیب گوشت بره خرد شده، روغن دمبه و ادویه‌های تند تهیه می‌شود. این غذا در نان‌های لواش خانگی بسیار نازک پیچیده شده و با پیاز، جعفری و گوجه‌فرنگی تازه سرو می‌گردد.","گرم","undefined","ترشی لیمو و دوغ","620","50","متوسط","ترکیه","گوشت ران بره:500:گرم | آرد گندم برای نان:375:گرم | روغن دمبه:50:میلی‌لیتر | پودر فلفل قرمز تند:0:به میزان لازم | نمک و فلفل و زردچوبه:1:به میزان لازم | پیاز سفید:2:عدد | جعفری تازه:30:به میزان لازم | گوجه فرنگی نگینی:2:عدد | آب:200:میلیلیتر","ابتدا آرد گندم را با آب و مقدار کمی نمک مخلوط کرده و به خوبی ورز دهید تا خمیری نرم به دست آید. خمیر را به چانه‌های کوچک تقسیم کرده و نان‌های بسیار نازکی (لواش) در تابه داغ بپزید. | گوشت ران بره را به صورت مکعب‌های بسیار ریز (نگینی ریز) خرد کنید. گوشت را در تابه با مقداری آب بپزید تا کاملاً نرم شود و آب آن کاملاً کشیده شود. | روغن دمبه را به گوشت اضافه کرده و اجازه دهید گوشت در چربی تفت بخورد. در این مرحله پودر فلفل قرمز تند و نمک را برای رنگ و طعم‌دهی اضافه کنید. | پیازهای سفید را به صورت خلالی بسیار نازک خرد کنید و با جعفری تازه که ساطوری شده است مخلوط نمایید. | گوجه‌فرنگی‌ها را به صورت نگینی ریز خرد کرده و آماده کنار بگذارید. | نان‌های خانگی را برای لحظاتی روی گوشت در حال تفت قرار دهید تا با بخار و روغن گوشت گرم، نرم و طعم‌دار شوند. | مقداری از گوشت تفت داده شده را به همراه مخلوط پیاز و جعفری و گوجه‌فرنگی نگینی داخل نان قرار داده، نان را به صورت محکم رول کنید و بلافاصله سرو نمایید."
"dish-1-1769901425087","خاگینه مغزدار تبریزی","dessert","خاگینه مغزدار یکی از دسرهای سنتی و اصیل شهر تبریز است که از ترکیب مایه تخم‌مرغی و لایه‌ای از مغز گردو و ادویه‌های معطر تهیه می‌شود. این دسر خوش‌طعم معمولاً در کنار چای و به عنوان عصرانه یا صبحانه سرو می‌گردد.","گرم","undefined","شربت سکنجبین یا انار","480","35","متوسط","ir","تخم‌مرغ:5:عدد | ماست:75:میلیلیتر | آرد نخودچی:50:قاشق | گردو خرد شده:50:پیمانه | پودر گل سرخ:0:به میزان لازم | دارچین و هل:0:به میزان لازم | زعفران و شربت قوام آمده:240:میلی‌لیتر | روغن مایع:1:به میزان لازم","ابتدا تخم‌مرغ‌ها را در ظرفی مناسب شکسته و با همزن دستی یا چنگال بزنید تا کاملاً یکدست شده و از لختگی خارج شوند. | ماست را به تخم‌مرغ‌ها اضافه کرده و مخلوط کنید، سپس آرد را الک کرده و به تدریج به مایه اضافه کنید تا غلظتی یکنواخت پیدا کند. | در یک تابه نچسب مقداری روغن ریخته و اجازه دهید گرم شود؛ سپس نیمی از مایه خاگینه را کف تابه پخش کنید و درب آن را بگذارید تا کمی خودش را بگیرد. | مخلوط گردوی خرد شده را به همراه پودر گل سرخ، دارچین و هل به صورت یکنواخت روی سطح لایه اول بپاشید. | باقیمانده مایه خاگینه را به آرامی روی لایه گردوها بریزید تا تمام سطح آن را بپوشاند. درب تابه را مجدداً گذاشته و با حرارت ملایم اجازه دهید لایه بالایی سفت و زیر آن سرخ شود. | خاگینه را به آرامی برگردانید تا طرف دیگر آن نیز طلایی و سرخ شود. | در انتها، شربت زعفرانی خنک را روی خاگینه داغ بریزید و چند دقیقه زمان دهید تا شربت کاملاً به خورد خاگینه برود و سپس آن را در ظرف سرو قرار دهید."
"dish-1-1769902135931","کاچی چهار مغز","dessert","کاچی چهار مغز یک دسر مقوی و سنتی ایرانی است که به دلیل داشتن آرد جوانه گندم، عسل و مغزهای متنوع، سرشار از ویتامین و انرژی بوده و برای تقویت سیستم ایمنی و بازیابی توان جسمی بسیار توصیه می‌شود.","گرم","undefined","انار ترش یا دوغ","480","35","متوسط","ir","آرد جوانه گندم:125:گرم | مغز گردو، بادام، فندق و پسته:200:گرم | روغن زرد:75:میلی‌لیتر | عسل:340:میلیلیتر | آب:960:میلیلیتر | دارچین و زنجبیل:0:به میزان لازم","ابتدا مغز گردو، بادام، فندق و پسته را به صورت نیم‌کوب یا کاملاً پودر آماده کنید. | روغن زرد را در یک قابلمه مناسب گرم کرده و آرد جوانه گندم را به آن اضافه کنید. آرد را با حرارت ملایم تفت دهید تا بوی خامی آن گرفته شود و کمی تغییر رنگ دهد. | پودر چهار مغز را به آرد تفت داده شده اضافه کنید و حدود ۲ دقیقه دیگر تفت دهید تا عطر مغزها آزاد شود. | عسل را در آب ولرم حل کرده و شربت حاصل را به آرامی به مخلوط آرد و مغزها اضافه کنید. در این مرحله باید به طور مداوم هم بزنید تا آرد گلوله نشود. | دارچین و زنجبیل را به مواد اضافه کرده و اجازه دهید کاچی با حرارت بسیار کم بجوشد تا غلیظ شده و به روغن بیفتد. | زمانی که غلظت کاچی مانند فرنی شد، حرارت را خاموش کرده و آن را به صورت گرم سرو کنید."
"dish-1-1769902867207","سالاد اندونزی با مرغ رژیمی","international","یک سالاد مقوی و کم‌کالری که با ترکیب سبزیجات تازه، مرغ پخته شده و سس رژیمی بر پایه ماست یونانی تهیه می‌شود. این غذا گزینه‌ای عالی برای وعده‌های سبک و سالم است.","معتدل","undefined","زیره سیاه","235","45","آسان","اندونزی","سینه مرغ:400:گرم | کلم سفید:250:گرم | هویج:150:گرم | نخود فرنگی:100:گرم | ذرت:100:گرم | ماست یونانی:120:گرم | سس مایونز کم چرب:30:میلیلیتر | آبلیموی تازه:15:میلیلیتر | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم","سینه مرغ را به همراه پیاز و ادویه‌جات دلخواه بپزید و پس از خنک شدن، آن را به صورت ریش‌ریش خرد کنید. | کلم سفید را شسته و به صورت رشته‌های بسیار نازک و یکدست برش بزنید. | هویج‌ها را بخارپز کرده و سپس به صورت خلالی نازک خرد کنید. | در یک ظرف کوچک، ماست یونانی، سس مایونز کم‌چرب، آبلیموی تازه، نمک و فلفل سیاه را کاملاً مخلوط کنید تا سس یکنواختی حاصل شود. | در یک ظرف بزرگ، مرغ ریش‌ریش شده، کلم، هویج، نخود فرنگی و ذرت را با هم مخلوط کرده و سس را به آن‌ها اضافه کنید. | سالاد را به خوبی هم بزنید تا سس به تمام مواد برسد، سپس آن را به مدت حداقل یک ساعت در یخچال قرار دهید تا طعم‌ها به خوبی با هم ترکیب شوند."
"dish-1-1769975411817","جوجه چینی با سس تارتار","international","یک غذای بین‌المللی محبوب و ترد که از فیله‌های مرغ سوخاری شده در خمیر بنیه مخصوص تهیه می‌شود و به همراه سس تارتار غلیظ و چاشنی‌های معطر سرو می‌گردد.","معتدل","undefined","سرکه انگور یا زیتون","750","45","متوسط","چینی","فیله مرغ:500:گرم | دلستر کلاسیک:240:میلی‌لیتر | آرد ذرت:65:گرم | بکینگ پودر:5:گرم | آرد گندم:125:گرم | تخم مرغ:2:عدد | نمک و فلفل و زردچوبه:1:به میزان لازم | سس مایونز:200:میلیلیتر | خیارشور:60:عدد | ابلیموی ترش و تازه:15:قاشق | جعفری تازه:10:به میزان لازم","ابتدا زرده و سفیده تخم‌مرغ‌ها را از هم جدا کنید. سفیده‌ها را در ظرفی تمیز با همزن برقی بزنید تا کاملاً فرم گرفته و از ظرف نریزد. | در ظرف دیگری، زرده‌های تخم‌مرغ را بزنید و سپس دلستر کلاسیک را به آن اضافه نموده و مخلوط کنید. | آرد گندم، آرد ذرت و بکینگ پودر را با هم ترکیب و الک کرده، سپس به آرامی به مخلوط زرده اضافه کنید تا خمیری یکدست حاصل شود. | سفیده فرم گرفته را به آرامی و با حرکت دورانی لیسک به مایه اضافه کنید تا پف آن حفظ شود (خمیر بنیه). | فیله‌های مرغ را به ابعاد دلخواه برش زده و با نمک و فلفل مزه‌دار کنید. | فیله‌ها را ابتدا در مقداری آرد اضافی غلتانده، سپس در خمیر بنیه فرو برده و در روغن داغ و فراوان سرخ کنید تا طلایی و ترد شوند. | برای تهیه سس تارتار، خیارشور و جعفری را بسیار ریز خرد کرده و با سس مایونز، آب لیمو و کمی فلفل مخلوط کنید. | جوجه‌های چینی را پس از سرخ شدن روی دستمال روغن‌گیر قرار دهید و سپس همراه با سس تارتار سرو کنید."
"dish-1-1769975438099","شنیتسل گوشت (وینر شنیتسل)","international","شنیتسل گوشت یا وینر شنیتسل یکی از مشهورترین غذاهای اتریشی است که از ورقه‌های نازک و کوبیده شده گوشت گوساله تهیه می‌شود که در پوششی ترد از آرد سوخاری سرخ شده‌اند.","معتدل","undefined","گشنیز و سماق","520","40","متوسط","اتریش","گوشت راسته گوساله:600:گرم | تخم‌مرغ:3:عدد | آرد سوخاری پانکو:250:گرم | آرد سفید:125:گرم | کره:50:گرم | روغن مایع:1:به میزان لازم | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم","گوشت راسته گوساله را به صورت عرضی به لایه‌هایی با ضخامت حدود ۱ سانتی‌متر برش بزنید. | هر لایه گوشت را بین دو لایه سلفون یا کیسه فریزر قرار داده و با بیفتک‌کوب کاملاً بکوبید تا پهن و نازک شود، اما پاره نشود. | دو طرف تکه‌های گوشت را با نمک و فلفل سیاه مزه‌دار کنید. | سه ظرف جداگانه آماده کنید: در ظرف اول آرد سفید، در ظرف دوم تخم‌مرغ‌های زده شده و در ظرف سوم آرد سوخاری پانکو را بریزید. | هر تکه گوشت را ابتدا در آرد سفید بغلتانید و آرد اضافی آن را با تکان دادن بگیرید. | سپس گوشت را در تخم‌مرغ زده شده فرو ببرید تا کاملاً آغشته شود. | در مرحله آخر، گوشت را در آرد سوخاری پانکو قرار دهید و با دست کمی فشار دهید تا پودر سوخاری کاملاً به گوشت بچسبد. | در یک تابه بزرگ، کره و روغن مایع را روی حرارت متوسط داغ کنید. | شنیتسل‌ها را در روغن داغ قرار دهید و هر طرف را حدود ۳ تا ۴ دقیقه تا زمانی که طلایی و ترد شوند سرخ کنید. | شنیتسل‌های آماده را روی دستمال حوله‌ای قرار دهید تا روغن اضافی آن‌ها گرفته شود و سپس با لیموترش تازه و سیب‌زمینی سرخ‌کرده سرو کنید."
"dish-1-1770080337713","چیکن تندر رژیمی در فر","international","یک غذای رژیمی و سالم که به دلیل استفاده از فر به جای سرخ کردن، کالری بسیار کمی دارد و با استفاده از کورن فلکس بدون قند، بافتی ترد و لذیذ پیدا می‌کند.","معتدل","undefined","روغن زیتون و آویشن","275","25","آسان","آمریکا","فیله مرغ:600:گرم | کورن فلکس بدون قند خرد شده:125:گرم | ماست کم‌چرب:45:میلی‌لیتر | خردل:15:میلیلیتر | پاپریکا:0:به میزان لازم | نمک و فلفل و زردچوبه:1:به میزان لازم","ابتدا فیله‌های مرغ را به صورت نواری و یک اندازه برش بزنید تا به طور یکنواخت پخته شوند. | در یک ظرف مناسب، ماست کم‌چرب را با خردل، پاپریکا و نمک مخلوط کنید تا سس یکدستی حاصل شود. | تکه‌های مرغ را درون ظرف سس بریزید و کاملاً با مواد ماساژ دهید تا تمام قسمت‌ها به مرینیت آغشته شود. اجازه دهید مرغ‌ها حداقل ۳۰ دقیقه در یخچال استراحت کنند. | کورن فلکس‌های بدون قند را درون یک کیسه زیپ‌کیپ ریخته و با وردنه کمی خرد کنید (دقت کنید که کاملاً پودر نشود و بافت ترد خود را حفظ کند). | سینی فر را با کاغذ روغنی بپوشانید. تکه‌های مرغ مرینیت شده را یکی یکی در ظرف کورن فلکس خرد شده بغلتانید تا تمام سطح آن‌ها پوشانده شود. | تکه‌های مرغ را با فاصله روی سینی فر چیده و در فر از پیش گرم شده با دمای ۲۰۰ درجه سانتی‌گراد قرار دهید. | اجازه دهید چیکن تندرها به مدت ۲۰ تا ۲۵ دقیقه بپزند تا طلایی و برشته شوند. در نیمه زمان پخت، می‌توانید آن‌ها را پشت و رو کنید."
"dish-1-1770080380305","خوراک فیله مرغ و سبزیجات مدیترانه‌ای","international","یک خوراک سالم، خوش‌طعم و رژیمی که از ترکیب فیله‌های مرغ تفت داده شده با سبزیجات تازه و معطر تهیه می‌شود و گزینه‌ای عالی برای یک وعده غذایی سبک و مغذی است.","معتدل","undefined","فلفل سیاه و آویشن","320","30","آسان","ایتالیا","فیله مرغ:600:گرم | کدو سبز:400:گرم | هویج:200:گرم | فلفل دلمه‌ای رنگی:300:عدد | روغن زیتون:45:قاشق | آب لیمو تازه:30:میلی‌لیتر | سیر له شده:2:حبه | نمک و فلفل و زردچوبه:1:به میزان لازم | نمک و فلفل سیاه:1:به میزان لازم","ابتدا فیله‌های مرغ را به صورت نواری یا مکعبی یکسان برش دهید. | در یک تابه بزرگ، روغن زیتون را گرم کرده و سیر له شده را کمی تفت دهید تا عطر آن آزاد شود. | قطعات مرغ را به تابه اضافه کرده و با حرارت متوسط تفت دهید تا رنگ آن‌ها تغییر کرده و طلایی شوند. | هویج و کدو سبز را به صورت خلالی (ژولین) خرد کرده و به تابه اضافه کنید. حدود ۵ تا ۷ دقیقه تفت دهید تا سبزیجات کمی نرم شوند. | فلفل دلمه‌ای‌های رنگی را به صورت نواری برش زده و به مخلوط مرغ و سبزیجات اضافه کنید و ۳ دقیقه دیگر تفت دهید. | در مرحله نهایی، نمک، فلفل سیاه و آب لیمو تازه را اضافه کرده، مواد را با هم ترکیب کنید و پس از ۲ دقیقه از روی حرارت برداشته و در ظرف مناسب سرو کنید."
"dish-1-1770085451265","انچیلادا گوشت گاو (Beef Enchiladas)","international","یک غذای مکزیکی کلاسیک و دلچسب متشکل از تورتیلاهای پر شده با گوشت چرخ‌کرده، لوبیا قرمز و ادویه‌های معطر که با سس مخصوص و پنیر ذوب شده در فر پخته می‌شود.","گرم","undefined","ترشی لیمو یا سماق","450","40","متوسط","مکزیک","گوشت چرخ کرده:500:گرم | نان تورتیلا ذرت 8 عدد:8:عدد | پنیر موتزارلا 2 پیمانه:230:گرم | رب گوجه فرنگی:45:قاشق | پودر فلفل قرمز و زیره به میزان لازم:0:به میزان لازم | لوبیا قرمز پخته 1 پیمانه:200:پیمانه | پیاز 1 عدد:1:عدد","پیاز را نگینی خرد کرده و در تابه با مقداری روغن تفت دهید تا شفاف شود، سپس گوشت چرخ‌کرده را اضافه کرده و همراه با پودر فلفل قرمز و زیره به خوبی تفت دهید تا گوشت کاملاً پخته و سرخ شود. | لوبیا قرمز پخته شده را به مخلوط گوشت اضافه کنید و به مدت ۲ تا ۳ دقیقه تفت دهید تا طعم مواد با هم ترکیب شود. | رب گوجه‌فرنگی را با مقداری آب جوش رقیق کرده تا به غلظت سس برسد، سپس کمی از آن را کف ظرف مخصوص فر پخش کنید. | داخل هر نان تورتیلا مقداری از مواد گوشتی و کمی پنیر قرار داده، آن‌ها را لوله (رول) کنید و به صورت ردیفی در ظرف بچینید. | باقی‌مانده سس را روی تورتیلاهای چیده شده بریزید و تمام سطح آن‌ها را با پنیر موتزارلا بپوشانید. | ظرف را در فر که از قبل با دمای ۱۸۰ درجه سانتی‌گراد گرم شده، به مدت ۲۰ دقیقه قرار دهید تا پنیر ذوب و طلایی شود."
